tags,notes,title,guid,imageURL,articleDate,trailerLink,rating
"Bleecker Street, Comedy, Sci Fi, John Reynolds, Sunita Mani",,Save Yourselves!: Trailer,http://www.traileraddict.com/save-yourselves-2020/trailer,http://cdn.traileraddict.com/vidog/bleecker-street/save-yourselves-poster/1.jpg,2020-09-11T21:32:31.000Z,http://www.traileraddict.com/save-yourselves-2020/trailer,
"Shudder, Horror, Aya Cash, Josh Ruben, Chris Redd",,Scare Me: Trailer,http://www.traileraddict.com/scare-me-2020/trailer,http://cdn.traileraddict.com/vidog/shudder/scare-me-poster/1.jpg,2020-09-15T22:36:10.000Z,http://www.traileraddict.com/scare-me-2020/trailer,
"Paramount Pictures, Comedy, Supernatural, Adventure, Dylan O'Brien, Jessica Henwick, Michael Rooker, Ariana Greenblatt, Te Kohe Tuhaka",,Love and Monsters: Trailer,http://www.traileraddict.com/love-and-monsters/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2020-09-15T22:43:25.000Z,http://www.traileraddict.com/love-and-monsters/trailer,
"Well Go USA, Sci Fi, Thriller, Anthony Mackie, Jamie Dornan",,Synchronic: Trailer,http://www.traileraddict.com/synchronic-2020/trailer,http://cdn.traileraddict.com/vidog/well-go-usa/synchronic-2020-poster/1.jpg,2020-09-16T18:31:00.000Z,http://www.traileraddict.com/synchronic-2020/trailer,
"Paramount Pictures, Crime, Comedy, Olivia Cooke, Ben Hardy, Alec Baldwin, Colm Meaney, Dylan Moran, Sebastian De Souza",,Pixie: Trailer,http://www.traileraddict.com/pixie-2020/trailer,http://cdn.traileraddict.com/vidog/paramount-pictures/pixie-2020-poster/1.jpg,2020-09-16T18:24:07.000Z,http://www.traileraddict.com/pixie-2020/trailer,
"Sony Pictures, Drama, Comedy, Richard Jenkins, Da'Vine Joy Randolph, Birgundi Baker, Allison Tolman, Ed O'Neill",,The Last Shift: Trailer,http://www.traileraddict.com/the-last-shift-2020/trailer,http://cdn.traileraddict.com/vidog/sony-pictures/last-shift-poster/1.jpg,2020-09-17T19:40:15.000Z,http://www.traileraddict.com/the-last-shift-2020/trailer,
"RLJ Entertainment, Comedy, Jimmy O. Yang, Debby Ryan, Cedric the Entertainer, Alex Moffat, Ken Jeong, Bill Burr",,The Opening Act: Trailer,http://www.traileraddict.com/the-opening-act/trailer,http://cdn.traileraddict.com/vidog/rlj-entertainment/the-opening-act-poster/1.jpg,2020-09-21T19:01:14.000Z,http://www.traileraddict.com/the-opening-act/trailer,
"Dreamworks Animation, Family, Comedy, Adventure, Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener, Cloris Leachman, Clark Duke, Leslie Mann, Peter Dinklage, Kelly Marie Tran",,The Croods: A New Age: Trailer,http://www.traileraddict.com/the-croods-a-new-age/trailer,http://cdn.traileraddict.com/vidog/dreamworks-animation/croods-new-age-poster/1.jpg,2020-09-21T22:23:52.000Z,http://www.traileraddict.com/the-croods-a-new-age/trailer,
"Gravitas Ventures, Fantasy, Drama, Bodhi Palmer, Teresa Palmer, Mark Webber, Nicole Elizabeth Berger",,The Place of No Words: Trailer,http://www.traileraddict.com/the-place-of-no-words/trailer,http://cdn.traileraddict.com/vidog/gravitas-ventures/place-of-no-words-poster/1.jpg,2020-09-21T19:04:41.000Z,http://www.traileraddict.com/the-place-of-no-words/trailer,
"Roadside Attractions, Drama, Julianne Moore, Alicia Vikander, Lulu Wilson, Ryan Keira Armstrong, Janelle Monáe, Lorraine Toussaint, Bette Midler",,The Glorias: Trailer,http://www.traileraddict.com/the-glorias-2020/trailer,http://cdn.traileraddict.com/vidog/roadside-attractions/the-glorias-poster/1.jpg,2020-09-23T01:21:08.000Z,http://www.traileraddict.com/the-glorias-2020/trailer,
